bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
668011,384017,2015-01-12,Senate,"On Cloture on the Motion to Proceed S. 1",63,32,5,0,100
668011,384766,2015-01-20,Senate,"On the Motion to Table S.Amdt. 13 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",57,42,1,0,100
668011,384767,2015-01-20,Senate,"On the Motion to Table S.Amdt. 17 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",53,46,1,0,100
668011,384768,2015-01-20,Senate,"On the Amendment S.Amdt. 3 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",94,5,1,0,100
668011,385188,2015-01-21,Senate,"On the Amendment S.Amdt. 33 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",54,45,1,0,100
668011,385189,2015-01-21,Senate,"On the Amendment S.Amdt. 69 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",41,58,1,0,100
668011,385190,2015-01-21,Senate,"On the Amendment S.Amdt. 41 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",54,45,1,0,100
668011,385191,2015-01-21,Senate,"On the Amendment S.Amdt. 29 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",98,1,1,0,100
668011,385192,2015-01-21,Senate,"On the Amendment S.Amdt. 87 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",59,40,1,0,100
668011,385193,2015-01-21,Senate,"On the Amendment S.Amdt. 58 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",50,49,1,0,100
668011,385495,2015-01-22,Senate,"On the Amendment S.Amdt. 113 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",55,44,1,0,100
668011,385496,2015-01-22,Senate,"On the Amendment S.Amdt. 18 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",54,45,1,0,100
668011,385497,2015-01-22,Senate,"On the Motion to Table S.Amdt. 99 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",53,46,1,0,100
668011,385498,2015-01-22,Senate,"On the Motion to Table S.Amdt. 24 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",56,42,2,0,100
668011,385499,2015-01-22,Senate,"On the Amendment S.Amdt. 71 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",51,47,2,0,100
668011,385500,2015-01-22,Senate,"On the Amendment S.Amdt. 123 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",75,23,2,0,100
668011,385501,2015-01-22,Senate,"On the Amendment S.Amdt. 27 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",50,47,3,0,100
668011,385502,2015-01-22,Senate,"On the Amendment S.Amdt. 78 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",51,46,3,0,100
668011,385503,2015-01-22,Senate,"On the Amendment S.Amdt. 126 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",64,33,3,0,100
668011,385504,2015-01-22,Senate,"On the Amendment S.Amdt. 72 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",43,54,3,0,100
668011,385505,2015-01-22,Senate,"On the Motion (Motion to Table Markey Amdt. No. 25)",53,42,5,0,100
668011,385506,2015-01-22,Senate,"On the Motion to Table S.Amdt. 121 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",57,38,5,0,100
668011,385507,2015-01-22,Senate,"On the Motion to Table S.Amdt. 28 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",52,43,5,0,100
668011,385508,2015-01-22,Senate,"On the Motion to Table S.Amdt. 30 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",53,41,6,0,100
668011,385509,2015-01-22,Senate,"On the Motion to Table S.Amdt. 74 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",49,45,6,0,100
668011,386176,2015-01-26,Senate,"On the Cloture Motion S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",53,39,8,0,100
668011,386177,2015-01-26,Senate,"On the Cloture Motion S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",53,39,8,0,100
668011,386178,2015-01-26,Senate,"On the Cloture Motion S. 1",53,39,8,0,100
668011,386179,2015-01-26,Senate,"On the Cloture Motion S. 1",53,39,8,0,100
668011,387133,2015-01-28,Senate,"On the Amendment S.Amdt. 75 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",37,61,2,0,100
668011,387134,2015-01-28,Senate,"On the Amendment S.Amdt. 70 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",40,58,2,0,100
668011,387135,2015-01-28,Senate,"On the Amendment S.Amdt. 23 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",40,58,2,0,100
668011,387136,2015-01-28,Senate,"On the Amendment S.Amdt. 15 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",53,45,2,0,100
668011,387137,2015-01-28,Senate,"On the Amendment S.Amdt. 73 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",54,44,2,0,100
668011,387138,2015-01-28,Senate,"On the Amendment S.Amdt. 148 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",44,52,4,0,100
668011,387139,2015-01-28,Senate,"On the Amendment S.Amdt. 132 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",50,47,3,0,100
668011,387140,2015-01-28,Senate,"On the Amendment S.Amdt. 115 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",47,51,2,0,100
668011,387141,2015-01-28,Senate,"On the Amendment S.Amdt. 166 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",50,48,2,0,100
668011,387142,2015-01-28,Senate,"On the Amendment S.Amdt. 133 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",47,51,2,0,100
668011,387143,2015-01-28,Senate,"On the Amendment S.Amdt. 48 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",35,63,2,0,100
668011,387693,2015-01-29,Senate,"On the Amendment S.Amdt. 246 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",47,51,2,0,100
668011,387694,2015-01-29,Senate,"On the Amendment S.Amdt. 92 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",59,39,2,0,100
668011,387695,2015-01-29,Senate,"On the Amendment S.Amdt. 77 to S. 1 (Keystone XL Pipeline Act)",45,53,2,0,100
668011,387696,2015-01-29,Senate,"On the Cloture Motion S. 1",62,35,3,0,100
668011,387697,2015-01-29,Senate,"On the Amendment S.Amdt. 155 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",41,56,3,0,100
668011,387698,2015-01-29,Senate,"On the Amendment S.Amdt. 141 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",36,62,2,0,100
668011,387699,2015-01-29,Senate,"On the Amendment S.Amdt. 178 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)",44,54,2,0,100
